  3.5000e+00  0.0000e+00 -5.0000e-01
  1.1500e+01  0.0000e+00  7.5000e+00
  1.9500e+01  0.0000e+00  1.5500e+01
  2.7500e+01  0.0000e+00  2.3500e+01
  3.5500e+01  0.0000e+00  3.1500e+01
  4.3500e+01  1.0000e+00  3.9500e+01
  5.1500e+01  1.0000e+00  4.7500e+01
  5.9500e+01  0.0000e+00  5.5500e+01
  6.7500e+01  1.0000e+00  6.3500e+01
  7.5500e+01  1.0000e+00  7.1500e+01
  8.3500e+01  1.0000e+00  7.9500e+01
  9.1500e+01  2.0000e+00  8.7500e+01
  9.9500e+01  3.0000e+00  9.5500e+01
  1.0750e+02  2.0000e+00  1.0350e+02
  1.1550e+02  4.0000e+00  1.1150e+02
  1.2350e+02  3.0000e+00  1.1950e+02
  1.3150e+02  4.0000e+00  1.2750e+02
  1.3950e+02  5.0000e+00  1.3550e+02
  1.4750e+02  4.0000e+00  1.4350e+02
  1.5550e+02  4.0000e+00  1.5150e+02
  1.6350e+02  4.0000e+00  1.5950e+02
  1.7150e+02  6.0000e+00  1.6750e+02
  1.7950e+02  3.0000e+00  1.7550e+02
  1.8750e+02  2.0000e+00  1.8350e+02
  1.9550e+02  2.0000e+00  1.9150e+02
  2.0350e+02  6.0000e+00  1.9950e+02
  2.1150e+02  4.0000e+00  2.0750e+02
  2.1950e+02  5.0000e+00  2.1550e+02
  2.2750e+02  4.0000e+00  2.2350e+02
  2.3550e+02  4.0000e+00  2.3150e+02
  2.4350e+02  4.0000e+00  2.3950e+02
  2.5150e+02  4.0000e+00  2.4750e+02
  2.5950e+02  5.0000e+00  2.5550e+02
  2.6750e+02  2.0000e+00  2.6350e+02
  2.7550e+02  4.0000e+00  2.7150e+02
  2.8350e+02  3.0000e+00  2.7950e+02
  2.9150e+02  1.0000e+00  2.8750e+02
  2.9950e+02  0.0000e+00  2.9550e+02
  3.0750e+02  0.0000e+00  3.0350e+02
  3.1550e+02  0.0000e+00  3.1150e+02
  3.2350e+02  1.0000e+00  3.1950e+02
  3.3150e+02  0.0000e+00  3.2750e+02
  3.3950e+02  0.0000e+00  3.3550e+02
  3.4750e+02  0.0000e+00  3.4350e+02
  3.5550e+02  0.0000e+00  3.5150e+02
  3.6350e+02  0.0000e+00  3.5950e+02
  3.7150e+02  0.0000e+00  3.6750e+02
  3.7950e+02  0.0000e+00  3.7550e+02
  3.8750e+02  0.0000e+00  3.8350e+02
  3.9550e+02  0.0000e+00  3.9150e+02
  4.0350e+02  0.0000e+00  3.9950e+02
  4.1150e+02  0.0000e+00  4.0750e+02
  4.1950e+02  0.0000e+00  4.1550e+02
  4.2750e+02  0.0000e+00  4.2350e+02
  4.3550e+02  0.0000e+00  4.3150e+02
  4.4350e+02  0.0000e+00  4.3950e+02
  4.5150e+02  0.0000e+00  4.4750e+02
  4.5950e+02  0.0000e+00  4.5550e+02
  4.6750e+02  0.0000e+00  4.6350e+02
  4.7550e+02  0.0000e+00  4.7150e+02
  4.8350e+02  0.0000e+00  4.7950e+02
  4.9150e+02  0.0000e+00  4.8750e+02
  4.9950e+02  0.0000e+00  4.9550e+02
  5.0750e+02  0.0000e+00  5.0350e+02
  5.1550e+02  0.0000e+00  5.1150e+02
  5.2350e+02  0.0000e+00  5.1950e+02
  5.3150e+02  0.0000e+00  5.2750e+02
  5.3950e+02  0.0000e+00  5.3550e+02
  5.4750e+02  0.0000e+00  5.4350e+02
  5.5550e+02  0.0000e+00  5.5150e+02
  5.6350e+02  0.0000e+00  5.5950e+02
  5.7150e+02  0.0000e+00  5.6750e+02
  5.7950e+02  0.0000e+00  5.7550e+02
  5.8750e+02  0.0000e+00  5.8350e+02
  5.9550e+02  0.0000e+00  5.9150e+02
  6.0350e+02  0.0000e+00  5.9950e+02
  6.1150e+02  0.0000e+00  6.0750e+02
  6.1950e+02  0.0000e+00  6.1550e+02
  6.2750e+02  0.0000e+00  6.2350e+02
  6.3550e+02  0.0000e+00  6.3150e+02
  6.4350e+02  0.0000e+00  6.3950e+02
  6.5150e+02  0.0000e+00  6.4750e+02
  6.5950e+02  0.0000e+00  6.5550e+02
  6.6750e+02  0.0000e+00  6.6350e+02
  6.7550e+02  0.0000e+00  6.7150e+02
  6.8350e+02  0.0000e+00  6.7950e+02
  6.9150e+02  0.0000e+00  6.8750e+02
  6.9950e+02  0.0000e+00  6.9550e+02
  7.0750e+02  0.0000e+00  7.0350e+02
  7.1550e+02  0.0000e+00  7.1150e+02
  7.2350e+02  0.0000e+00  7.1950e+02
  7.3150e+02  0.0000e+00  7.2750e+02
  7.3950e+02  0.0000e+00  7.3550e+02
  7.4750e+02  0.0000e+00  7.4350e+02
  7.5550e+02  0.0000e+00  7.5150e+02
  7.6350e+02  0.0000e+00  7.5950e+02
  7.7150e+02  0.0000e+00  7.6750e+02
  7.7950e+02  0.0000e+00  7.7550e+02
  7.8750e+02  0.0000e+00  7.8350e+02
  7.9550e+02  0.0000e+00  7.9150e+02
  7.9550e+02  0.0000e+00  7.9950e+02
