x;Curve1
105.7272;1475.67
107.2437;1435.13
108.6828;1309.6
110.194;1233.77
111.687;1252.07
113.1992;1182.77
114.6644;1120.3
116.1581;999.11
117.6707;972.25
119.1461;872.87
120.6281;817.95
122.1214;838.88
123.6093;823.19
125.1319;823.19
126.6115;752.58
128.1228;676.74
129.5718;617.9
131.0876;572.13
132.6072;581.7
134.1041;537.72
135.5863;543.36
137.1111;557.75
138.5786;514.14
140.0739;419.15
141.5939;423.07
143.0765;419.57
144.5386;357.54
146.0864;352.46
147.5058;350.19
149.0653;315.98
150.5527;323.69
152.0763;330.23
153.5654;322.38
155.0507;289.69
